desig,popular,type,con,ra_h,dec_deg,size_arcmin,mag,magband,sb
NGC3065,,GAL_S0,UMa,10.03167,72.1703,1.87,13.19,V,21.87
NGC3110,,GAL_SB,Sex,10.06694,-6.4744,1.87,13.4,B,22.55
IC2552,,GAL_ES0,Ant,10.17917,-34.8444,1.87,13.42,B,23.19
NGC3171,,GAL_ES0,Hya,10.26028,-20.6475,1.87,13.85,B,24.14
NGC3252,,GAL_SB,Dra,10.57306,73.7647,1.87,14.2,B,23.3
IC664,,GAL_ES0,Leo,11.01222,10.5531,1.87,14.8,B,24.67
NGC3600,,GAL_SB,UMa,11.26417,41.5908,1.87,12.6,B,22.72
NGC3832,,GAL_SA,Leo,11.72528,22.7253,1.87,14.0,B,23.62
NGC3854,,GAL_SAB,Crt,11.74778,-9.2331,1.87,13.08,B,23.01
NGC4020,,GAL_SA,UMa,11.98222,30.4117,1.87,13.2,B,22.66
NGC4250,,GAL_S0A,Dra,12.29056,70.8025,1.87,13.0,B,23.18
NGC4379,,GAL_ES0,Com,12.42056,15.6072,1.87,11.72,V,22.63
NGC4580,,GAL_SAB,Vir,12.63,5.3683,1.87,13.1,B,22.45
IC4299,,GAL_SA,Cen,13.61306,-34.0656,1.87,12.67,V,23.41
NGC5522,,GAL_SB,Boo,14.24694,15.1467,1.87,14.1,B,23.16
NGC6156,,GAL_SA,Ara,16.58139,-60.6189,1.87,12.3,B,22.28
NGC6878A,,GAL_SAB,Sgr,20.22667,-44.8158,1.87,13.99,B,23.37
NGC182,,GAL_SAB,Psc,0.63667,2.7283,1.86,13.8,B,23.33
NGC494,,GAL_SA,Psc,1.38167,33.1739,1.86,13.8,B,23.22
IC267,,GAL_SA,Ari,2.89694,12.8492,1.86,14.1,B,23.27
NGC1320,,GAL_SA,Eri,3.41333,-3.0419,1.86,14.0,V,23.01
NGC1376,,GAL_SA,Eri,3.61806,-5.0428,1.86,12.9,B,22.95
NGC2445,,GAL_SA,Lyn,7.78167,39.015,1.86,13.1,B,23.49
NGC2496,,GAL_E,CMi,7.97667,8.0297,1.86,14.8,B,24.54
NGC3179,,GAL_S0,UMa,10.29917,41.1142,1.86,14.2,B,24.04
IC3247,,GAL_SA,Com,12.38694,28.8936,1.86,15.6,B,24.38
NGC4657,,GAL_SA,CVn,12.73528,32.2086,1.86,13.57,B,23.65
NGC4763,,GAL_SB,Crv,12.89056,-17.0056,1.86,14.0,B,23.09
NGC4779,,GAL_GENERIC,Vir,12.8975,9.71,1.86,13.5,B,22.88
NGC4988,,GAL_S0A,Cen,13.16472,-43.1056,1.86,13.86,B,23.87
NGC5088,,GAL_SAB,Vir,13.33889,-12.5717,1.86,12.9,B,22.43
NGC5126,,GAL_S0A,Cen,13.41472,-30.3333,1.86,14.09,B,24.03
NGC5298,,GAL_SB,Cen,13.81,-30.4283,1.86,13.09,V,23.54
NGC5691,,GAL_SA,Vir,14.63139,0.3989,1.86,12.9,B,22.84
NGC5832,,GAL_SA,UMi,14.96278,71.6822,1.86,12.26,V,23.03
NGC6339,,GAL_SA,Her,17.28528,40.8447,1.86,13.7,B,23.5
NGC7091,,GAL_SA,Gru,21.56889,-36.6533,1.86,13.43,B,23.3
IC5208,,GAL_S0A,Tuc,22.40917,-65.2275,1.86,14.82,B,24.74
NGC7631,,GAL_SA,Peg,23.3575,8.2175,1.86,13.8,B,23.42
IC194,,GAL_SA,Psc,2.05139,2.6142,1.85,15.4,B,24.0
NGC986A,,GAL_GENERIC,For,2.54444,-39.2958,1.85,13.97,V,24.68
IC1880,,GAL_ES0,Eri,3.10806,-9.7314,1.85,14.86,B,24.68
NGC1441,,GAL_SB,Eri,3.76167,-4.0917,1.85,14.0,B,23.26
NGC1511A,,GAL_SB,Hyi,4.00528,-67.8067,1.85,14.27,B,23.61
IC2038,,GAL_SA,Dor,4.14806,-55.9892,1.85,14.82,B,24.32
IC2056,,GAL_SA,Ret,4.27333,-60.2067,1.85,12.49,B,22.39
NGC1686,,GAL_SA,Eri,4.88167,-15.3464,1.85,14.0,B,23.34
NGC2307,,GAL_SB,Vol,6.81417,-64.3356,1.85,13.38,B,22.98
NGC2555,,GAL_SA,Hya,8.29889,0.7456,1.85,13.5,B,23.28
IC2267,,GAL_SA,Cnc,8.30056,24.7353,1.85,15.1,B,23.72
NGC2679,,GAL_S0,Cnc,8.85917,30.8653,1.85,14.3,B,24.1
NGC2721,,GAL_SB,Hya,8.98222,-4.9017,1.85,13.1,B,22.94
NGC3402,,GAL_E,Crt,10.84056,-12.8444,1.85,9.0,B,23.13
NGC3482,,GAL_SB,Vel,10.97583,-46.5839,1.85,13.51,B,23.39
IC676,,GAL_S0A,Leo,11.21083,9.0556,1.85,13.4,B,23.57
NGC4134,,GAL_SA,Com,12.15278,29.1767,1.85,13.1,V,23.26
NGC4185,,GAL_SB,Com,12.22278,28.5108,1.85,13.5,B,23.24
NGC4221,,GAL_S0A,Dra,12.26667,66.2306,1.85,13.6,B,23.26
IC3099,,GAL_SA,Vir,12.28556,12.4539,1.85,15.1,B,23.61
NGC4335,,GAL_E,UMa,12.38389,58.4444,1.85,13.7,B,23.83
IC3311,,GAL_SA,Vir,12.42556,12.2603,1.85,14.87,B,23.52
IC3986,,GAL_E,Cen,13.02556,-32.2908,1.85,13.35,B,23.54
